Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belize,BLZ,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,7.916294902,7.635747609,8.037884004,6.511702953,5.711079199,4.557453898,10.33459248,18.44631629,25.72414448,49.03106765,24.67939761,23.26773371,28.64984051,39.21219162,34.94140962,42.58302819,39.91925277,37.58811025,31.8548261,28.50316597,26.48191257,27.52793308,26.56115793,26.49509816,26.60636422,32.03575532,34.14924091,52.94817146,37.16063364,43.38874343,58.00214353,65.29320961,72.1671354,87.06831693,75.21610407,75.20355812,71.91865306,69.46998959,81.06782519,80.80633531,81.12719405,73.6871934,66.86409687,65.28092996,64.32731885,61.03741686,60.6171908,62.55822038,63.14334931,61.9332736,77.00093275,61.98748595,54.2321775,51.36922671,46.04289647
Bermuda,BMU,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,50.36077857,57.03598663,61.38969471,60.89912996,66.58773995,61.24815864,66.03058508,82.4316774,76.67485923,97.87785723,155.3495717,146.6794422,115.3407777,94.90628235,94.60905977,81.60602329,79.54902625,79.58991142,85.62552395,82.34192508,73.38529143,68.74010209,68.24267298,69.91279229,72.10634486,60.45178508,66.31798774,75.36917858,74.91558841,75.96006034,56.58972101,40.09907335,35.32702532,34.68295928,30.79031349,26.90469,25.9950614,28.31771411,28.38503956,31.04562758,32.99572929,35.68795641,33.70060081,35.69983902,42.58181863,40.69789157,37.2686638,37.1837076,32.53769749
Brazil,BRA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,14.34068531,15.8702009,20.42804066,19.22154238,21.5335073,22.76866586,22.48056843,24.53064285,28.06603022,28.22408687,31.66914419,32.42082515,35.33621976,51.72318402,52.9382284,49.35626708,42.8010802,42.577923,37.27017455,26.40699838,32.10658843,36.23527752,40.22844031,40.24188248,30.26711903,21.21898441,21.66653618,22.9073573,28.6093884,42.17678067,38.09647348,42.44350058,47.07685384,43.64475396,33.9781538,21.75462757,17.99252754,17.43730593,15.89564621,17.27804482,16.46096339,15.85160333,18.32562472,19.83772447,23.10604297,30.72992828,30.90908735,26.81566646,29.92896042,31.19641446,38.0076646,35.29101319,30.56211816,28.62865018,28.66126611
Barbados,BRB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,0.301695675,1.064848959,1.581581345,2.163148216,6.862786641,13.48850299,19.03598408,27.26497003,29.34037201,31.04236216,39.47933549,42.09211201,47.85682481,43.77356797,41.76511995,42.14363458,37.28672822,55.6865946,58.59953758,45.9701581,54.99643602,70.02507308,77.35282025,83.5882779,77.35435971,76.76958876,64.6856312,53.99882114,61.41219357,57.66088582,57.43529509,79.16083141,89.44591156,99.33811929,103.230441,110.0207325,113.8495473,112.2222583,111.877606,139.8318177,125.1388199,115.0155063,114.4995035,
Botswana,BWA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,17.24287213,25.35999489,45.45763424,47.02016937,43.32410218,41.66456775,44.71556823,41.08763305,21.26284063,15.85844426,13.37490686,14.35568145,19.62337197,20.1419712,23.688776,33.94392163,31.74821389,31.42644901,21.58005557,19.51687582,15.00542891,15.29200191,14.23738194,14.90838475,17.35846615,15.26452178,13.63601373,11.78819554,10.83835503,9.770031029,8.322685978,7.479765632,10.36456113,7.565283317,6.449163419,5.06958019,3.895005609,4.168161332,4.398732006,16.38539624,14.87527448,15.95085872,17.77283914,17.4581483,16.60428411,16.99951868,15.37994023,11.75243426,11.48362038,9.323394485,10.69921559,10.63180038,9.838853429,11.23737333,11.9275332
Central African Republic,CAF,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,12.88915613,14.28564199,16.12684652,20.94561881,24.57792427,21.01315082,20.9958549,26.04346519,23.26994573,22.69635539,24.34494189,33.43107693,34.20451876,39.80116278,41.96749927,40.05909613,41.61435034,52.49774609,54.05164341,57.39791414,49.25037627,58.34169818,58.28344288,69.45114849,106.9453577,86.43909821,94.53074476,95.76525259,96.86038684,93.22732364,96.16327424,90.26751246,108.2551359,92.06389234,87.52945761,78.61019227,72.21972212,60.84119187,50.58745461,26.64478643,30.43497173,25.35044171,24.85903621,38.12987631,37.22999882,43.11832015,40.25900035,35.47939454,34.99535878,36.36719399,36.9485083,41.34494249,41.66479317,40.03257378,35.85407126
Canada,CAN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,2.956195103,4.063130359,4.142835964,4.619071654,5.371167651,7.872666043,12.93181785,13.5689412,12.8910079,15.25455558,15.63998853,16.9200403,19.31907516,17.78906566,16.28743174,15.07290366,15.35455113,14.1318708,13.66158401,12.06749045,13.79747964,12.57500116,12.37870591,12.49879702,12.42076986,11.71492347,10.45789193,8.228926045,8.772275333,12.04473255,13.86866041,13.2676744,15.31744643,16.63929883,11.8789197,12.40231688,13.6631367,13.92488824,14.5601861,15.63453521,15.07036833,13.93176341,13.50675136,13.00075226
Cote d'Ivoire,CIV,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,26.31335821,33.90027649,32.40194683,35.88989416,35.85812242,39.02383931,40.58246284,42.38028747,50.52853591,54.96202076,77.08710847,102.9145967,127.5352025,144.0368083,134.589301,153.4224605,135.2101477,147.631839,143.4273629,177.0158264,187.3258249,199.2435799,189.1102168,197.0325223,230.7226513,188.7452168,173.9564161,141.8610595,123.5508368,112.5978713,123.8277407,117.1357361,107.8376107,89.52638341,89.10885136,73.06040165,79.75934509,73.54087135,55.36615647,63.55300277,48.7687328,52.36374526,36.80434939,32.99593057,20.45313439,25.41090257,24.20068664,26.37797182,28.46347714,33.7779621,41.04394274,42.19623416,46.08233288,47.48264113,48.83040446
Cameroon,CMR,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,14.34881878,16.09095727,16.09256878,16.27747878,17.24725807,17.37370532,23.85285946,42.350194,35.86065908,38.94944055,46.250324,44.48783197,45.15450075,44.7576536,41.03997162,38.19096556,35.35052793,35.62242733,39.47020485,49.6835727,55.67691641,60.95209546,65.99090318,49.97739822,110.432486,106.1764836,105.3300066,105.1519178,104.6101715,96.82257617,105.9130547,95.04541074,87.60486507,73.86999836,58.92579214,40.48220448,16.54817864,13.17078957,10.38630933,11.63715965,11.70997742,10.2035512,13.08605433,15.63718498,16.14861347,22.99067747,23.72537065,28.36026617,28.06212387,33.2997558,36.87028269,34.72779137,34.97218581,31.88163573,31.28762516
